price_check_date,initial_price,best_price,start_date,end_date,number_of_adults,number_of_kids
2026-01-01,13083,6644,2026-12-13,2026-12-19,2,2
2026-01-02,13083,6644,2026-12-13,2026-12-19,2,2
2026-01-03,13083,6644,2026-12-13,2026-12-19,2,2
2026-01-04,13083,6644,2026-12-13,2026-12-19,2,2
2026-01-05,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-06,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-07,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-08,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-09,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-10,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-11,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-12,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-13,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-14,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-15,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-16,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-17,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-18,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-19,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-20,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-21,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-22,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-24,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-25,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-26,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-27,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-28,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-29,14682,7443,2026-12-13,2026-12-19,2,2
2026-02-01,14682,7443,2026-12-13,2026-12-19,2,2
2026-02-02,14682,7443,2026-12-13,2026-12-19,2,2
2026-02-03,14682,7443,2026-12-13,2026-12-19,2,2
2026-02-05,14682,7443,2026-12-13,2026-12-19,2,2
2026-02-06,9253,7443,2026-12-13,2026-12-19,2,2
2026-02-07,9253,7443,2026-12-13,2026-12-19,2,2
2026-02-08,9253,7443,2026-12-13,2026-12-19,2,2
2026-02-09,9253,7443,2026-12-13,2026-12-19,2,2
2026-02-10,9253,7443,2026-12-13,2026-12-19,2,2
2026-02-11,9253,7443,2026-12-13,2026-12-19,2,2
2026-02-12,9253,7443,2026-12-13,2026-12-19,2,2
2026-02-13,9253,7443,2026-12-13,2026-12-19,2,2
2026-02-14,9253,7443,2026-12-13,2026-12-19,2,2
