price_check_date,initial_price,best_price,start_date,end_date,number_of_adults,number_of_kids
2025-12-17,13083,6644,2026-12-13,2026-12-19,2,2
2025-12-18,13083,6644,2026-12-13,2026-12-19,2,2
2025-12-19,13083,6644,2026-12-13,2026-12-19,2,2
2025-12-20,13083,6644,2026-12-13,2026-12-19,2,2
2025-12-21,13083,6644,2026-12-13,2026-12-19,2,2
2025-12-22,13083,6644,2026-12-13,2026-12-19,2,2
2025-12-23,13083,6644,2026-12-13,2026-12-19,2,2
2025-12-24,13083,6644,2026-12-13,2026-12-19,2,2
2025-12-25,13083,6644,2026-12-13,2026-12-19,2,2
2025-12-26,13083,6644,2026-12-13,2026-12-19,2,2
2025-12-27,13083,6644,2026-12-13,2026-12-19,2,2
2025-12-28,13083,6644,2026-12-13,2026-12-19,2,2
2025-12-29,13083,6644,2026-12-13,2026-12-19,2,2
2025-12-30,13083,6644,2026-12-13,2026-12-19,2,2
2025-12-31,13083,6644,2026-12-13,2026-12-19,2,2
2026-01-01,13083,6644,2026-12-13,2026-12-19,2,2
2026-01-02,13083,6644,2026-12-13,2026-12-19,2,2
2026-01-03,13083,6644,2026-12-13,2026-12-19,2,2
2026-01-04,13083,6644,2026-12-13,2026-12-19,2,2
2026-01-05,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-06,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-07,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-08,14682,7443,2026-12-13,2026-12-19,2,2
2026-01-09,14682,7443,2026-12-13,2026-12-19,2,2
